Column,title,source_document_url,type,actor-name,language,published_at,length
33,Evaluering av Statens pensjonskasse,,Evaluering,AGENDA Kaupang,nb,2014-01-01 00:00:00,269558
34,Statusrapport for ekspressbussnæringen,,Evaluering,Transportøkonomisk institutt (TØI),nb,2011-01-01 00:00:00,155770
35,Forsøk på å beskrive det ugjennomtrengelige,,Evaluering,Vista Analyse ,nb,2016-01-01 00:00:00,157372
36,Sammen bedre på IA,,Evaluering,Østfoldforskning,nb,2011-01-01 00:00:00,92613
37,Samfunnsøkonomisk analyse av tiltak i Gamvik fiskerihavn,,Forhåndsutredning,Vista Analyse ,nb,2015-01-01 00:00:00,100400
38,Regionale aktørar sitt arbeid med bygde- og lokalsamfunnsutvikling på Vestlandet,,Evaluering,Møreforsking,nn,2011-01-01 00:00:00,117609
39,"Nasjonal deleksamen i anatomi, fysiologi og biokjemi for sykepleierutdanningene",https://www.nokut.no/globalassets/nokut/rapporter/nasjonal-deleksamen7/sykepleier/nasjonal_deleksamen_i_anatomi_fysiologi_og_biokjemi_for_sykepleierutdanningene_2016-2.pdf,Evaluering,Nasjonalt organ for kvalitet i utdanningen|NOKUT,no,2016-01-01 20:18:00,52226
40,Trafikksikkerhet blant mc-førere,,Evaluering,Transportøkonomisk institutt (TØI),nb,2010-01-01 00:00:00,331222
41,En godt gjemt skatt,,Evaluering,Oxford Research,nb,2015-01-01 00:00:00,102483
42,Skattereformen 2006,,Evaluering,Statistisk sentralbyrå (SSB),nb,2010-01-01 00:00:00,58292
43,Hovedstudie ST2 - Egnede Boreinnretninger,https://www.ptil.no/contentassets/299ea3d91d094d9b9488adee26f5816e/st2---egnede-boreinnretninger.pdf,Forhåndsutredning,Rambøll Management,no,2017-01-01 20:19:00,563945
44,Evaluering av lektorutdanningene: Spørreundersøkelse blant ledere i ungdoms- og videregående skoler,https://www.nokut.no/globalassets/nokut/rapporter/ua/2021/evaluering-av-lektorutdanningene_sporreundersokelse-blant-ledere-i-ungdoms-og-videregaende-skoler_9-2021.pdf,Kartlegging,Nasjonalt organ for kvalitet i utdanningen|NOKUT,no,2021-01-01 20:17:00,131265
45,Riksrevisjonens oppfølging av parallellrevisjonen med den russiske riksrevisjonen om strålingssikkerhet og beskyttelse av miljøet mot forurensning fra radioaktive kilder i Nordvest-Russland,,Riksrevisjonsrapport,Riksrevisjonen,nb,2011-01-01 00:00:00,256134
46,"Brukerundersøkelsen 2004 : regelverksprosjektet for utarbeidelse av et helhetlig, koordinert regelverk for helse, miljø og sikkerhet i petroleumsvirksomheten på sokkelen og på enkelte anlegg på land",,Evaluering,RC Consultants|Oulie Advokatfirma,nb,2005-01-01 00:00:00,44598
47,Naturfaglige registreringer i forbindelse med vern av skog på Statskog SFs eiendommer,,Evaluering,Norsk institutt for naturforskning (NINA)|BioFokus|Miljøfaglig utredning,nb,2007-01-01 00:00:00,371344
48,Dokumentasjon av omstillingene i Husbanken i perioden 1997-2006,,Evaluering,Statskonsult,nb,2007-01-01 00:00:00,68481
49,Innvandrerkvinner - em viktig ressurs for norsk arbeidsliv. Følgeforskning av Levanger Arena Arbeid,,Evaluering,SINTEF,nb,2016-01-01 00:00:00,150168
50,Education at a Glance 2014,https://www.regjeringen.no/contentassets/cc6521fac78841d5ae2b26daa9f08880/eagsammendrag2014.pdf,Kartlegging,Kunnskapsdepartementet (KD),en,2014-09-09 00:00:00,12154
51,Introduksjonsordningen – en resultatstudie,https://www.imdi.no/contentassets/c49e80d22546429aa8019548bdb100e1/rapport-2015.-introduksjonsordningen--en-resultatstudie.pdf,Evaluering,Statistisk sentralbyrå (SSB),no,2015-01-01 20:20:00,328672
52,Hus for alle?,,Evaluering,Nordlandsforskning,nb,2007-01-01 00:00:00,163117
53,Overvåking av palsmyr,,Evaluering,Norsk institutt for naturforskning (NINA),nb,2007-01-01 00:00:00,56878
54,Kjøp av svart arbeid i privatmarkedet,,Evaluering,TNS Gallup,nb,2009-01-01 00:00:00,50704
55,Oversikt over statlige virksomheter med utgangspunkt i økonomiregelverkets bestemmelser,https://dfo.no/sites/default/files/fagomr%C3%A5der/Rapporter/2016/R0216-Oversikt-over-statlige-virksomheter.pdf,Kartlegging,Direktoratet for forvaltning og økonomistyring (DFØ)|Direktoratet for forvaltning og IKT (DIFI)|Statistisk sentralbyrå (SSB),no,2016-01-01 20:13:00,76294
56,Evaluering av Forbrukerrådets svartjeneste 23.-28. september 2004,,Evaluering,Markeds- og mediainstituttet,nb,2004-01-01 00:00:00,31965
57,Kommunale lederes handtering av alvorlige kritikkverdige forhold,https://www.fafo.no/zoo-publikasjoner/fafo-notater/item/kommunale-lederes-handtering-av-alvorlige-kritikkverdige-forhold,Ukategorisert,Forskningsstiftelsen fafo,nb,2007-01-01 00:00:00,223355
58,Evaluering av nye finansieringsformer i Aetat,,Evaluering,Telemarksforsking Bø,nb,2005-01-01 00:00:00,338747
59,Riksrevisjonens undersøkelse av Statskrafts lønnsomhet og utenlandsinvesteringer,https://www.riksrevisjonen.no/globalassets/rapporter/no-2019-2020/statkraftslonnsomhetutenlandsinvesteringer.pdf,Riksrevisjonsrapport,Riksrevisjonen,no,2019-11-26 17:09:00,178430
60,Samfunnsøonomiske virkninger av klimaendring i Norge,,Evaluering,Vista Analyse ,nb,2010-01-01 00:00:00,313245
61,Analyse av modeller for finansiering av NRK AS,https://www.regjeringen.no/globalassets/upload/kud/medier/rapporter/analyse_av_finansieringsmodeller_for_nrk_as_menon_2014_11.pdf,Forhåndsutredning,MENON Business Economics,no,2014-12-11 20:06:00,215030
62,Årsrapport for 2013 fra Sekretariatet for Markedsrådet og Forbrukertvistutvalget,https://www.regjeringen.no/globalassets/upload/bld/frl/ftu2013.pdf,Statusrapport,Sekretariatet for Markedsrådet og Forbrukertvistutvalget,nn,2014-04-30 00:00:00,12603
63,Scenens kunst,https://www.regjeringen.no/contentassets/cfbf10748aa5474f8b8e7641052752c8/scenens-kunst---gjennomgang-av-scenekunstomradet---260219.pdf,Studie,Telemarksforsking,no,2019-02-26 20:11:00,211615
64,Det norske leiemarkedet og situasjonen for langtidsleietakere,http://biblioteket.husbanken.no/arkiv/dok/Komp/Det%20norske%20leiemarkedet%20og%20situasjonen%20for%20langtidsleietakere%20.pdf,Studie,Oslo Economics|Kantar,no,2021-01-01 20:19:00,154450
65,Norwegian Peacebuilding Policies: Lessons Learnt and Challenges Ahead,,Evaluering,Institutt for fredsforskning,en,2004-01-01 00:00:00,115717
66,Global Aid Architecture and the Health Millennium Development Goals,,Evaluering,HLSP,en,2009-01-01 00:00:00,307455
67,Evaluering av tilskudd til arbeid innen feltet HIV og seksuelt overførbare infeksjoner,,Evaluering,Oxford Research,nb,2018-01-01 00:00:00,113137
68,Mentorordning i landbruket – evaluering av forsøksordningen,https://www.regjeringen.no/contentassets/58585dc1291f42feadfcf62e31e333f9/mentorordning-i-landbruket---evaluering-av-forsoksordningen-ostlandsforsking-8-2019.pdf,Evaluering,Østlandsforskning,no,2019-03-20 20:10:00,148324
69,Behovet for tolk i 2016,https://www.imdi.no/contentassets/94a801016cec40f9a15af74403b376b5/behovet-for-tolk-i-2016.pdf,Kartlegging,Integrerings- og mangfoldsdirektorat (IMDi),no,2017-01-01 20:17:00,38823
70,Unemployment Insurance in Welfare States: Soft Constraints and Mild Sanctions,,Evaluering,Frischsenteret,en,2007-01-01 00:00:00,121071
71,Når alle stemmer teller - : evaluering av demokratireformen i Den norske kirke,,Evaluering,"Kirkeforskning, Stiftelsen|Det Teologiske menighetsfakultet ",nb,2010-01-01 00:00:00,1004588
72,Rapport om kommersielt tilgjengelig litteratur for syns- og lesehemmede,,Evaluering,Pensumtjeneste,nb,2009-01-01 00:00:00,59324
73,Utsatte barn og unges tjenestetilbud under Covid-19 pandemien,https://www.regjeringen.no/contentassets/07a94a46945c43408c50a168e540079d/statusrapport-13-til-bfd.pdf,Statusrapport,"Barne-, ungdoms- og familiedirektoratet (Bufdir)",no,2021-06-05 20:11:00,2947
74,NVEs virksomhet for tilsyn med dammer,,Evaluering,Norconsult,nb,2015-01-01 00:00:00,428482
75,Vitalt om kreft,,Evaluering,Oxford Research,nb,2010-01-01 00:00:00,110031
76,Medieeierskapsutredningen 2012,,Evaluering,Evalueringskomité/Utvalg,nb,2012-01-01 00:00:00,616647
77,OUT-Reach,,Evaluering,Uni Research Rokkansenteret,nb,2015-01-01 00:00:00,668087
78,Spørsmål til Skole-Norge høsten 2015,,Evaluering,"Nordisk institutt for studier av innovasjon, forskning og utdanning (NIFU)",nb,2016-01-01 00:00:00,251681
79,"Teknologitrender som påvirker 
transportsektoren",https://www.jernbanedirektoratet.no/contentassets/1e1dfe4a71eb4665a70cea286a80862d/teknologitrender-som-pavirker-transportsektoren-v1.1-signert.pdf,Kartlegging,SINTEF,no,2017-12-14 20:05:00,254801
80,Boligsosiale utfordringer og sosial innovasjon ,,Evaluering,Forskningsstiftelsen fafo,nb,2013-01-01 00:00:00,276723
81,Følgeevaluering av Forskningsløft i nord - Sluttrapport,,Evaluering,Oxford Research|Ekebacka Konsult,nb,2013-01-01 00:00:00,97061
82,Den verdiskapende naturarven,,Evaluering,Telemarksforsking Bø,nb,2012-01-01 00:00:00,785890
83,Arbeidsmarkedstiltak i motbakke,,Evaluering,ECON,nb,2005-01-01 00:00:00,127353
84,"Effects of vitamins, fatty acids, minerals, and other dietary supplements on schizophrenic symptoms in people with schizophrenia",,Evaluering,Nasjonalt kunnskapssenter for helsetjenesten,en,2011-01-01 00:00:00,139252
85,Flere flyktninger bosatt raskere. Hvordan fikk kommunene det til?,https://www.imdi.no/contentassets/1b3c1f9b685440768d0075dd88ce7e88/nibr-rapport-2018-3-flere-flyktninger-bosatt-raskere.-hvordan-fikk-kommunene-det-til.pdf,Evaluering,By- og regionforskningsinstituttet NIBR|NTNU|SINTEF Byggforsk,no,2018-01-01 20:17:00,242591
86,Unge funksjonshemmede på praksisplass og i jobb,,Evaluering,Arbeidsforskningsinstituttet (AFI),nb,2007-01-01 00:00:00,117534
87,"Livslang læring 2020 - Befolkningens deltakelse på kurs, seminarer og konferanser - Resultater fra Lærevilkårsmonitoren 2008–2020","https://hkdir.no/content/download/4421/file/Livslang%20læring%202020%20-%20Befolkningens%20deltakelse%20på%20kurs,%20seminarer%20og%20konferanser.pdf",Kartlegging,Direktoratet for høyere utdanning og kompetanse (HK-dir),no,2021-01-01 20:16:00,77508
88,Brukerbasert evaluering av det kommunale tjenestetilbudet for barn og unge med psykiske vansker 2004-2007,,Evaluering,SINTEF,nb,2008-01-01 00:00:00,0
89,Datasentre i Norge,https://www.regjeringen.no/contentassets/4bf7e889744b4da089a863c498680f0f/201105_datacentre-i-norge_online_implement-rapport.pdf,Forhåndsutredning,Implement Consulting Group,no,2020-10-22 20:11:00,129303
90,Grunnlag for en nærmere utredning av en naturavgift,,Evaluering,Vista Analyse ,nb,2015-01-01 00:00:00,208223
91,DFØ si forvaltning av økonomiregelverket i 2019,https://dfo.no/sites/default/files/fagomr%C3%A5der/Rapporter/2020/DFO-rapport_2020_8_Regelverksrapport-2019.pdf,Statusrapport,Direktoratet for forvaltning og økonomistyring (DFØ),no,2020-01-01 20:05:00,88668
92,Politiets nasjonale innbyggerundersøkelse 2010,,Evaluering,TNS Gallup,nb,2010-01-01 00:00:00,102867
93,Evaluering av Sametingets søkerbaserte tilskuddsordninger for samisk språk,,Evaluering,Nordlandsforskning|Norut Alta - Áltá,nb,2013-01-01 00:00:00,178798
94,NAVs satsing på arbeid og psykisk helse,,Evaluering,Telemarksforsking Bø,nb,2007-01-01 00:00:00,246097
95,Regelverksendringer som krever utvikling av nye miljøteknologier,,Evaluering,MENON Business Economics,nb,2012-01-01 00:00:00,84335
96,Riksrevisjonens undersøkelse av opplæringen i grunnskolen,,Riksrevisjonsrapport,Riksrevisjonen,nb,2006-01-01 00:00:00,227509
97,Forsøksprogram som forvaltningspolitisk virkemiddel - smørekopp for kommunal omstilling?,,Evaluering,International Research Institute of Stavanger (IRIS),nb,2010-01-01 00:00:00,0
98,Spørsmål til Barnehage-Norge 2014,,Evaluering,Trøndelag forskning og utvikling,nb,2015-01-01 00:00:00,221232
99,"Riksrevisjonens undersøkelse om departementenes styringsinformasjon og rapportering til Stortinget på et tverrsektorielt område med barnefattigdom som eksempel
",https://www.riksrevisjonen.no/globalassets/rapporter/no-2019-2020/departementenesstyringsinfo.pdf,Riksrevisjonsrapport,Riksrevisjonen,no,2019-08-10 17:09:00,169424
100,Godstransport og logistikk i byer,,Evaluering,Transportøkonomisk institutt (TØI),nb,2008-01-01 00:00:00,225248
101,Forenklingspotensialet i statlige tilskuddsordninger for frivillige organisasjoner,https://www.regjeringen.no/contentassets/7f289c698d5c41138c2a112c59f4b943/rapport_forenklingspotensialet_i_statlige_tilskuddsordninger_for_frivillige_organisasjoner.pdf,Evaluering,KPMG,no,2016-04-21 20:08:00,99756
102,Holdninger til innvandring og integrering i Norge,https://www.imdi.no/contentassets/9f6bf228de9342d2acd9b43063c49c63/integreringsbarometeret-2018-holdninger-til-innvandrere-og-integrering.pdf,Kartlegging,ISF,no,2018-01-01 20:17:00,310533
103,Rapport fra Nordgård-utvalget,,Evaluering,Agderforskning,nb,2013-01-01 00:00:00,56017
104,"Utvalgte lokaliteters egnethet for mottak, behandling og deponering av uorganisk farlig avfall",,Evaluering,Norconsult,nb,2016-01-01 00:00:00,308057
105,Materialstrømanalyse av kvikksølv,,Evaluering,Scandpower,nb,1994-01-01 00:00:00,0
106,Bolig og folkehelse - hva er sammenhengen?,,Evaluering,By- og regionforskningsinstituttet NIBR,nb,2014-01-01 00:00:00,308130
107,Forskningsbarometeret 2015,https://www.regjeringen.no/contentassets/15e87f8e761343f18ba4ae389e7ac1e2/forskningsbarometeret-2015.pdf,Kartlegging,Kunnskapsdepartementet (KD),no,2015-05-05 20:07:00,245661
108,Tilgjengelighet for funksjonshemmede i kommunal arealplanlegging,,Evaluering,By- og regionforskningsinstituttet NIBR,nb,2010-01-01 00:00:00,31613
109,Medievold avler vold,,Evaluering,"Norsk institutt for forskning om oppvekst, velferd og aldring (NOVA)",nb,2010-01-01 00:00:00,293557
110,"""Da ars møtte techne""",,Evaluering,Telemarksforsking Bø,nb,2009-01-01 00:00:00,126273
111,"Brannbelastning ved boring over innretning i ""cantilevermodus""",,Evaluering,Proactima,nb,2014-01-01 00:00:00,111660
112,Studiebarometeret 2015: hovedtendenser,https://www.nokut.no/globalassets/studiebarometeret/2016/studiebarometeret_2015_hovedtendenser_1-2016.pdf,Kartlegging,Nasjonalt organ for kvalitet i utdanningen|NOKUT,no,2016-01-01 20:18:00,50188
113,Ny karriere eller ny barriere?,,Evaluering,Nordlandsforskning,nb,2007-01-01 00:00:00,95449
114,Kvalitetssikring (KS2) av Stad skipstunnel,https://www.regjeringen.no/contentassets/3c03bde7f16c4246adcc9b57ca451172/ks2_stad_skipstunnel.pdf,KVU/KS1/KS2,Oslo Economics|Atkins,no,2018-05-30 20:11:00,230322
115,Bruksnytte av Nasjonalt kvalifikasjonsrammeverk for livslang læring (NKR),https://www.nokut.no/contentassets/40568ec86aab411ba43c5a880ae339b5/lillehammer_ane_b_bruksnytte_av_nasjonalt_kvalifikasjonsrammeverk_for_livslang_laring_nkt_2014.pdf,Statusrapport,Nasjonalt organ for kvalitet i utdanningen|NOKUT,no,2014-01-01 20:18:00,12604
116,"Organisering, vilkår og hverdag i norske strippeklubber",,Evaluering,Forskningsstiftelsen fafo,nb,2013-01-01 00:00:00,137413
117,Grønnere arbeidsplasser: Barnehagene i Leksvik,,Evaluering,Vista Analyse ,nb,2014-01-01 00:00:00,124850
118,Institusjonstilbudet i barnevernet - sluttrapport,https://www.regjeringen.no/contentassets/f03d973e20604b828b07de478199c360/institusjonstilbudet_i_barnevernet_sluttrapport.pdf,Evaluering,Menon Economics,no,2020-06-07 20:10:00,555003
119,Frivillighet i offentlige og offentlig finansierte kulturinstitusjoner,https://www.regjeringen.no/contentassets/d71050c456864c29908378c53b8d5d85/frivillighet-i-offentlige-og-offentlig-finansierte-kulturinstitusjoner---hovedrapport.pdf,Studie,Senter for forskning på sivilsamfunn og frivillig sektor,no,2018-12-12 20:11:00,146365
120,Reaktivisering av uførepensjonister,,Evaluering,Forskningsstiftelsen fafo,nb,2007-01-01 00:00:00,159405
121,"Tilbakemeldinger fra media på 
politiets informasjonsarbeid og 
mediehåndtering ifm 22. juli 2011",https://www.politiet.no/globalassets/04-aktuelt-tall-og-fakta/22-juli/tilbakemelding-fra-media.pdf,Studie,Geelmuyden.Kiese_x000D_,no,2012-02-14 20:05:00,73805
122,Forslag til produksjonsområder i norsk lakse- og ørretoppdrett,https://www.regjeringen.no/contentassets/9380b2e564e9433e830551b4e2baa823/omraderapport.pdf,Forhåndsutredning,Havforskningsinstituttet,no,2015-05-11 20:06:00,62794
123,Evaluering,,Evaluering,Rambøll Management,nb,2011-01-01 00:00:00,187061
124,Philosophy and History of Ideas in Norway,,Evaluering,Internasjonalt sammensatt evalueringskomité,en,2010-01-01 00:00:00,274095
125,Ny giv i teatret – hva må til?,,Evaluering,Evalueringskomité/Utvalg,nb,2014-01-01 00:00:00,128376
126,OU-tinglysing,,Evaluering,Ingar Pettersen & Co,nb,2007-01-01 00:00:00,107226
127,"Evaluering av tilskuddsordningen for kommuner med ulverevir i Hedmark, Akershus og Østfold",,Evaluering,Menon Economics,nb,2020-01-01 00:00:00,143268
128,Riksrevisjonens undersøkelse av effektivitet i konsesjonsbehandlingen av fornybar energi,,Riksrevisjonsrapport,Riksrevisjonen,nb,2014-01-01 00:00:00,228893
129,Eksport i norske regioner,https://www.regjeringen.no/contentassets/e29a92a11cd54e7eb996c50fabfbbe73/norsk_eksport_fra_regioner_menon.pdf,Kartlegging,Menon Economics,no,2015-08-27 20:07:00,50142
130,Kvalitetssikring (KS2) rv. 555 Sotrasambandet,https://www.regjeringen.no/contentassets/a46ac71a722f4930aa08771be4bc3cfd/rapport-ks2-sotrasambandet.pdf,KVU/KS1/KS2,DNV|ÅF Advansia AS|Menon Business Economics AS,no,2018-01-26 20:11:00,130881
131,Evaluation of the Health Results Innovation Trust Fund,,Evaluering,HLSP,en,2012-01-01 00:00:00,507937
132,Norsk frivillighet: utviklingstrender og samfunnseffekter,https://www.regjeringen.no/contentassets/0beffc3f260c4b7cabf88c530f0a0197/avslutningsrapport_senter-for-forskning-paa-sivilsamfunn-og-frivillig-sektor-2013-2017.pdf,Kunnskapsoppsummering,Senter for forskning på sivilsamfunn og frivillig sektor,no,2017-11-13 20:08:00,213189
133,Entreprenørskap - evaluering av strategiplanen,https://www.udir.no/tall-og-forskning/finn-forskning/rapporter/evaluering-av-strategiplanen-for-entreprenorskap-2008/,Evaluering,Kunnskapsparken Bodø,nb,2008-10-14 00:00:00,322616
134,Bedre data for kollektivtransporten,https://www.regjeringen.no/globalassets/upload/sd/vedlegg/rapporter_og_planer/2014/toi_statrap_2014.pdf,Evaluering,Transportøkonomisk institutt (TØI),no,2014-06-17 00:00:00,204441
135,Norwegian Government Pension Fund,,Evaluering,Investment Property Databank (IPD),en,2014-01-01 00:00:00,38705
136,Rapport fra Det tekniske beregningsutvalg for kommunal og fylkeskommunal økonomi - november 2020,https://www.regjeringen.no/contentassets/7e94c055b37041a68652e488d5e78b97/rapport-fra-det-tekniske-beregningsutvalg-for-kommunal-og-fylkeskommunal-okonomi-november-2020-til-publisering.pdf,Statusrapport,TBU,no,2020-11-19 20:11:00,617876
137,Samferdselspakke for Kristiansandsregionen,,KVU/KS1/KS2,Vista Analyse |Holte Consulting,nb,2012-01-01 00:00:00,309798
138,Evaluering av to jernbanestrekninger,https://www.jernbanedirektoratet.no/contentassets/7544048f74f84259a93eb6c8addc7c1e/ua-rapport-89_2017_etterevaluering-av-to-jernbanestrekninger.pdf,Evaluering,Urbanet Analyse,no,2017-01-06 20:05:00,226473
139,Evaluering av brann 9. juni 2007 i Sveio Omsorgssenter,https://dibk.no/globalassets/sikkerhet/evalueringsrapport-brann-i-sveio-omsorgssenter-2007.pdf,Evaluering,Direktoratet for samfunnssikkerhet og beredskap (DSB)|BE,no,2007-01-01 20:12:00,110847
140,Språkstrategiar i høgare utdanning,https://diku.no/content/download/3795/file/Dikus%20rapportserie%2003-2021%20Språkstrategiar%20i%20høgare%20utdanning.pdf,Evaluering,Direktoratet for internasjonalisering og kvalitetsutvikling i høyere utdanning (DIKU)|Senter for internasjonalisering av høyere utdanning,no,2021-01-01 20:14:00,75571
141,Riksrevisjonens undersøkelse av effektivitet i offentlige tiltak til kollektivtrafikk - Oslopakke 2,,Riksrevisjonsrapport,Riksrevisjonen,nb,2006-01-01 00:00:00,333205
142,"Administrative sanksjoner, reaksjoner og straff i akvakulturloven",,Evaluering,Evalueringskomité/Utvalg,nb,2012-01-01 00:00:00,324424
143,Norwegian Vocational Rehabilitation Programs:Improving Employability and Preventing Disability?,,Evaluering,"Frischsenteret|Universitetet i Oslo, Økonomisk institutt",en,2008-01-01 00:00:00,103032
