title;source_document_url;type;name;uuid;language;published_at;length
Kommunenes utgifter til bosetting og integrering av flyktninger og personer med opphold på humanitært grunnlag i 2019;https://www.imdi.no/contentassets/9e95fe9249324198904fbae0f6dab785/utgifter-til-bosetting-og-integrering-2019.pdf;Kartlegging;Beregningsutvalget;00c769e6-403e-456b-bb25-7b09ddb5f8bf;no;2020-01-01 20:12:45;144345
Riksrevisjonens undersøkelse av styring og oppfølging av drift og måloppnåelse i Space Norway AS;https://www.riksrevisjonen.no/globalassets/rapporter/no-2020-2021/undersokelse-av-styring-og-oppfolging-av-drift-og-maloppnaelse-i-space-norway-as.pdf;Riksrevisjonsrapport;Riksrevisjonen;00c8bc7f-465e-46d8-8d14-992fbb190d2e;no;2020-12-15 17:10:09;169467
Kvalitetssikring av Førdepakken;https://www.regjeringen.no/contentassets/2ebfeab5cfe04e5d8718c93660dfae1b/ks2_fordepakken.pdf;KVU/KS1/KS2;Asplan Viak;00d56653-35fd-458e-a09f-ee054fcc188b;no;2015-04-16 20:06:50;130167
Riksrevisjonens undersøking av om statlege barnevernsmyndigheiter sikrar det beste for barn i barnevernsinstitusjonar;https://www.riksrevisjonen.no/globalassets/rapporter/no-2019-2020/barnbarnevernsinstitusjonaroppsummering.pdf;Riksrevisjonsrapport;Riksrevisjonen;00ea7438-2984-438d-b173-ca006f94377b;no;2020-09-30 17:09:54;76098
Analyse av arealutvikling og arealkonflikter;;Evaluering;Asplan Viak;00ead817-0f55-4b05-a58f-5ae506b45174;nob;2016-01-01 00:00:00;117398
Konseptvalgutredning for lokalisering av marine FoU-virksomheter i Bergen;https://www.regjeringen.no/contentassets/cd949726c03e4ad290540a2efaa2ab2e/kvu-marin-fou-sluttrapport.pdf;KVU/KS1/KS2;Metier|OPAK|LINK arkitektur;0111cb98-9ccc-41cb-9941-84365b35d7e9;no;2017-01-03 20:08:21;293643
"Kompetanseplattform for
livslang læring_x000D_";https://hkdir.no/content/download/5161/file/DIGITAL_KOMPETANSEPLATTFORM_ENDELIG_RAPPORT.pdf;Forhåndsutredning;Lånekassen|Direktoratet for høyere utdanning og kompetanse (HK-dir)|Direktoratet for høyere utdanning og kompetanse|Hkdir|Hk-dir|Sikt;011652ad-b115-44c0-81fd-ac95c827f63e;no;2022-03-18 17:13:42;264225
Lungemedisinsk og nevrologisk forundersøkelse (baseline) og oppfølgingsundersøkelse i forbindelse med operasjonell dypdykking i dybdeområdet 180-225 meter;https://www.ptil.no/contentassets/fc5afd783f19457e9605b4b60c235112/rapport-til-ptil-us-for-og-etter-dykk-180-225-msw-24.01.2020.pdf;Forhåndsutredning;Haukeland Universitetssykehus;011f69d1-868c-474b-9cfa-4d38410433c9;no;2020-01-01 20:16:28;23268
Kundeeffektundersøkelse : bedrifters vurdering av Innovasjon Norges virkemidler;;Evaluering;Samfunns- og næringslivsforskning|Oxford Research AS;011f8f22-5919-473b-94af-ca3b7c66970a;nob;2005-01-01 00:00:00;308395
Kundeeffektundersøkelse av bedriftsrettede virkemidler fra Innovasjon Norge;;Evaluering;Nordlandsforskning;01280383-4111-4a8f-8eca-19b4f86d49ee;nob;2005-01-01 00:00:00;329617
”Derfor blir vi her” – innvandrere i Distrikts-Norge;https://www.imdi.no/contentassets/b5330835c8d543c89dc82d2df34cbc35/rapport-2012.-derfor-blir-vi-her--innvandrere-i-distrikts-norge;Studie;Norsk institutt for by- og regionforskning|NIBR|Norsk institutt for by- og regionforskning (NIBR);0147297c-5541-4627-a044-ea992c85f597;no;2012-01-01 20:17:52;447170
Ung & Ute;https://www.regjeringen.no/contentassets/6a6ae291daa04fe0a3165cd15235dc3c/afi_rapport_ungogute.pdf;Studie;AFI;01632e7f-608f-4962-8baa-fb86cf1e2397;no;2016-10-11 20:08:40;527338
Riksrevisjonens undersøkelse av konsulentbruk i staten;;Riksrevisjonsrapport;Riksrevisjonen;01638fa4-cd70-4d68-97da-40ccb6974e5a;nob;2017-01-01 00:00:00;156937
Gir bedre veger mindre klimagassutslipp?;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;0175d341-d397-418c-b810-7524ed99fec9;nob;2009-01-01 00:00:00;297332
BLD i Europa;https://www.regjeringen.no/contentassets/00653d169aff40cdb13eb7e747421163/bld-i-europa.pdf;Strategi/plan;Barne- og familiedepartementet|Barne- og likestillingsdepartementet|Barne-, likestillings- og inkluderingsdepartementet|BFD;0183cbf3-3589-4471-9342-c0de98963248;no;2016-10-18 20:07:58;25221
Evaluering av Statens pensjonskasse;;Evaluering;AGENDA Kaupang;018cd0fa-8c42-4350-9493-73ed7744d940;nob;2014-01-01 00:00:00;269558
Statusrapport for ekspressbussnæringen;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;01afcb02-f50b-480c-ba8b-f311d2a1eea2;nob;2011-01-01 00:00:00;155770
Forsøk på å beskrive det ugjennomtrengelige;;Evaluering;Vista Analyse ;01d68e4b-ffcd-419b-bf7b-eee0ec10a1ee;nob;2016-01-01 00:00:00;157372
Sammen bedre på IA;;Evaluering;Østfoldforskning;01d8b5e8-272a-408c-a95c-21d13f0d4d54;nob;2011-01-01 00:00:00;92613
Samfunnsøkonomisk analyse av tiltak i Gamvik fiskerihavn;;Forhåndsutredning;Vista Analyse ;01dadc78-8657-4620-8832-1989899eac52;nob;2015-01-01 00:00:00;100400
Regionale aktørar sitt arbeid med bygde- og lokalsamfunnsutvikling på Vestlandet;;Evaluering;Møreforsking;01f16e5f-f742-4344-9f5a-d8f769448e16;nno;2011-01-01 00:00:00;117609
Nasjonal deleksamen i anatomi, fysiologi og biokjemi for sykepleierutdanningene;https://www.nokut.no/globalassets/nokut/rapporter/nasjonal-deleksamen7/sykepleier/nasjonal_deleksamen_i_anatomi_fysiologi_og_biokjemi_for_sykepleierutdanningene_2016-2.pdf;Evaluering;Nasjonalt organ for kvalitet i utdanningen|NOKUT;01f82b05-cfac-4127-a776-de51e51a7348;no;2016-01-01 20:18:08;52226
Trafikksikkerhet blant mc-førere;;Evaluering;TØI Transportøkonomisk Institutt|Transportøkonomisk institutt|Transportøkonomisk institutt (TØI)|TØI;0205a7d5-f326-4ee5-be2f-9d3ad63487a5;nob;2010-01-01 00:00:00;331222
En godt gjemt skatt;;Evaluering;Oxford Research;021c2b00-97e4-4a0f-9dbe-6a880d02d609;nob;2015-01-01 00:00:00;102483
Skattereformen 2006;;Evaluering;Statistisk sentralbyrå (SSB);021ea5ff-170a-4e17-acaf-82870646ce0a;nob;2010-01-01 00:00:00;58292
Hovedstudie ST2 - Egnede Boreinnretninger;https://www.ptil.no/contentassets/299ea3d91d094d9b9488adee26f5816e/st2---egnede-boreinnretninger.pdf;Forhåndsutredning;Rambøll;022404e5-b706-4e6e-a3e7-0b8a3496d6bb;no;2017-01-01 20:19:26;563945
Evaluering av lektorutdanningene: Spørreundersøkelse blant ledere i ungdoms- og videregående skoler;https://www.nokut.no/globalassets/nokut/rapporter/ua/2021/evaluering-av-lektorutdanningene_sporreundersokelse-blant-ledere-i-ungdoms-og-videregaende-skoler_9-2021.pdf;Kartlegging;Nasjonalt organ for kvalitet i utdanningen|NOKUT;022bf4b0-564b-4b2f-b0fa-c3c5a3813630;no;2021-01-01 20:17:59;131265
Riksrevisjonens oppfølging av parallellrevisjonen med den russiske riksrevisjonen om strålingssikkerhet og beskyttelse av miljøet mot forurensning fra radioaktive kilder i Nordvest-Russland;;Riksrevisjonsrapport;Riksrevisjonen;022e7061-c3af-4d38-93ec-4100c78f8bc5;nob;2011-01-01 00:00:00;256134
Brukerundersøkelsen 2004 : regelverksprosjektet for utarbeidelse av et helhetlig, koordinert regelverk for helse, miljø og sikkerhet i petroleumsvirksomheten på sokkelen og på enkelte anlegg på land;;Evaluering;RC Consultants|Oulie Advokatfirma;02437030-c0c7-4f76-9be8-d11a5440ad4a;nob;2005-01-01 00:00:00;44598
Naturfaglige registreringer i forbindelse med vern av skog på Statskog SFs eiendommer;;Evaluering;Norsk institutt for naturforskning|BioFokus|Miljøfaglig utredning;02a87520-e68b-47b1-abf7-bafb4dcfb240;nob;2007-01-01 00:00:00;371344
Dokumentasjon av omstillingene i Husbanken i perioden 1997-2006;;Evaluering;Statskonsult;02aad1c3-86f4-4cb3-9542-d1ca4140e172;nob;2007-01-01 00:00:00;68481
Innvandrerkvinner - em viktig ressurs for norsk arbeidsliv. Følgeforskning av Levanger Arena Arbeid;;Evaluering;SINTEF|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|SINTEF Community|SINTEF Energiforskning |SINTEF IKT|SINTEF petroleumsforskning|SINTEF Byggforsk|SINTEF fiskeri og havbruk|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL;02cadc03-42a8-4cce-8bfd-3bdb589ac186;nob;2016-01-01 00:00:00;150168
Education at a Glance 2014;https://www.regjeringen.no/contentassets/cc6521fac78841d5ae2b26daa9f08880/eagsammendrag2014.pdf;Kartlegging;Kunnskapsdepartementet|KD|KD;02cb29b7-bc03-49f6-a839-438ccc04e1bb;en;2014-09-09 00:00:00;12154
Introduksjonsordningen – en resultatstudie;https://www.imdi.no/contentassets/c49e80d22546429aa8019548bdb100e1/rapport-2015.-introduksjonsordningen--en-resultatstudie.pdf;Evaluering;SSB;02e0ce84-73fc-457d-8153-56efe141b95d;no;2015-01-01 20:20:09;328672
Hus for alle?;;Evaluering;Nordlandsforskning;02e9fcb1-e606-4b95-a735-74526bb4041d;nob;2007-01-01 00:00:00;163117
Overvåking av palsmyr;;Evaluering;Norsk institutt for naturforskning;02ecd41a-026f-4c09-949b-3c115986ff50;nob;2007-01-01 00:00:00;56878
Kjøp av svart arbeid i privatmarkedet;;Evaluering;TNS Gallup;02eea15c-5868-49aa-9d9d-ef5108b72eba;nob;2009-01-01 00:00:00;50704
Oversikt over statlige virksomheter med utgangspunkt i økonomiregelverkets bestemmelser;https://dfo.no/sites/default/files/fagomr%C3%A5der/Rapporter/2016/R0216-Oversikt-over-statlige-virksomheter.pdf;Kartlegging;Direktoratet for forvaltning og økonomistyring|Direktoratet for forvaltning og IKT (DIFI)|DFØ|Difi|SSB|Direktoratet for forvaltning og økonomistyring|DFØ;03164bd2-51f3-431b-9964-34c00758c42b;no;2016-01-01 20:13:12;76294
Evaluering av Forbrukerrådets svartjeneste 23.-28. september 2004;;Evaluering;Markeds- og mediainstituttet;031f22d6-e54a-4917-b70e-f898483167d2;nob;2004-01-01 00:00:00;31965
Kommunale lederes handtering av alvorlige kritikkverdige forhold;https://www.fafo.no/zoo-publikasjoner/fafo-notater/item/kommunale-lederes-handtering-av-alvorlige-kritikkverdige-forhold;Ukategorisert;Forskningsstiftelsen fafo|Fafo;03247df9-8650-4c2c-849b-d9211fdba610;nob;2007-01-01 00:00:00;223355
Evaluering av nye finansieringsformer i Aetat;;Evaluering;Telemarksforsking Bø;032b9e68-3c1d-4c56-8379-e5ed4bb61c5b;nob;2005-01-01 00:00:00;338747
Riksrevisjonens undersøkelse av Statskrafts lønnsomhet og utenlandsinvesteringer;https://www.riksrevisjonen.no/globalassets/rapporter/no-2019-2020/statkraftslonnsomhetutenlandsinvesteringer.pdf;Riksrevisjonsrapport;Riksrevisjonen;032f4e67-cbe7-4538-9a97-c3ecefd7df2b;no;2019-11-26 17:09:51;178430
Samfunnsøonomiske virkninger av klimaendring i Norge;;Evaluering;Vista Analyse ;03313348-48d0-483c-a2cf-b655aa83aaf8;nob;2010-01-01 00:00:00;313245
Analyse av modeller for finansiering av NRK AS;https://www.regjeringen.no/globalassets/upload/kud/medier/rapporter/analyse_av_finansieringsmodeller_for_nrk_as_menon_2014_11.pdf;Forhåndsutredning;MENON Business Economics;033d9720-15c1-4b4f-a2a5-f194a8dd724d;no;2014-11-12 20:06:15;215030
Årsrapport for 2013 fra Sekretariatet for Markedsrådet og Forbukertvistutvalget;https://www.regjeringen.no/globalassets/upload/bld/frl/ftu2013.pdf;Statusrapport;Sekretariat;033f5e29-dba9-46d0-bea2-9fbe02ffa06b;no;2014-04-30 00:00:00;12603
Scenens kunst;https://www.regjeringen.no/contentassets/cfbf10748aa5474f8b8e7641052752c8/scenens-kunst---gjennomgang-av-scenekunstomradet---260219.pdf;Studie;Telemarksforsking ;035ff653-10dd-4932-841d-f35a49e84340;no;2019-02-26 20:11:21;211615
Det norske leiemarkedet og situasjonen for langtidsleietakere;http://biblioteket.husbanken.no/arkiv/dok/Komp/Det%20norske%20leiemarkedet%20og%20situasjonen%20for%20langtidsleietakere%20.pdf;Studie;Oslo Economics|Kantar;03708ba3-4f8c-4388-9c00-7199e3dc9c29;no;2021-01-01 20:19:05;154450
Norwegian Peacebuilding Policies: Lessons Learnt and Challenges Ahead;;Evaluering;Institutt for fredsforskning;03816d30-1068-4651-afae-5e274d51114c;eng;2004-01-01 00:00:00;115717
Global Aid Architecture and the Health Millennium Development Goals;;Evaluering;HLSP;03922fbb-aa7a-489b-833b-2b2f5e95d900;eng;2009-01-01 00:00:00;307455
Evaluering av tilskudd til arbeid innen feltet HIV og seksuelt overførbare infeksjoner;;Evaluering;Oxford Research;039f5063-7f5d-4499-ae9e-d276fec4c7b9;nob;2018-01-01 00:00:00;113137
Mentorordning i landbruket – evaluering av forsøksordningen;https://www.regjeringen.no/contentassets/58585dc1291f42feadfcf62e31e333f9/mentorordning-i-landbruket---evaluering-av-forsoksordningen-ostlandsforsking-8-2019.pdf;Evaluering;Østlandsforskning;03acecd8-7ddf-4cc6-b498-c94ad9fa25d2;no;2019-03-20 20:10:50;148324
Behovet for tolk i 2016;https://www.imdi.no/contentassets/94a801016cec40f9a15af74403b376b5/behovet-for-tolk-i-2016.pdf;Kartlegging;Integrerings- og mangfoldsdirektorat|Integrerings- og mangfoldsdirektorat (IMDi)|IMDi;03bd8cb8-cce7-4267-a58f-af04a557305b;no;2017-01-01 20:17:00;38823
Unemployment Insurance in Welfare States: Soft Constraints and Mild Sanctions;;Evaluering;Frischsenteret;03e498c9-c021-4c7a-8d32-646b51409cb8;eng;2007-01-01 00:00:00;121071
Når alle stemmer teller - : evaluering av demokratireformen i Den norske kirke;;Evaluering;Kirkeforskning, Stiftelsen|Det Teologiske menighetsfakultet ;03ed1885-22e1-4f9f-bf18-304d3aa98636;nob;2010-01-01 00:00:00;1004588
Rapport om kommersielt tilgjengelig litteratur for syns- og lesehemmede;;Evaluering;Pensumtjeneste;03fb5cb4-b650-44e2-940a-77cf382b30cd;nob;2009-01-01 00:00:00;59324
Utsatte barn og unges tjenestetilbud under Covid-19 pandemien;https://www.regjeringen.no/contentassets/07a94a46945c43408c50a168e540079d/statusrapport-13-til-bfd.pdf;Statusrapport;Barne-, ungdoms- og familiedirektoratet (Bufdir)|Barne-, ungdoms- og familiedirektoratet|Bufdir;040242ff-e189-4ddc-9ac9-571ade51e2a3;no;2021-05-06 20:11:25;2947
NVEs virksomhet for tilsyn med dammer;;Evaluering;Norconsult;0419b391-0eab-4063-adea-be4fa910ff79;nob;2015-01-01 00:00:00;428482
Vitalt om kreft;;Evaluering;Oxford Research;0421810e-e8b4-4391-bc5f-3b2003b2dec2;nob;2010-01-01 00:00:00;110031
Medieeierskapsutredningen 2012;;Evaluering;Evalueringskomité/Utvalg;042192f5-99a1-48fd-817f-ecd8ff7df201;nob;2012-01-01 00:00:00;616647
OUT-Reach;;Evaluering;Uni Research;0429409c-1bd7-48d3-9905-c2505b3c9950;nob;2015-01-01 00:00:00;668087
Spørsmål til Skole-Norge høsten 2015;;Evaluering;Nordisk institutt for studier av innovasjon, forskning og utdanning (NIFU);042bfdfd-7475-4ead-8ab9-0e6408767204;nob;2016-01-01 00:00:00;251681
"Teknologitrender som påvirker 
transportsektoren";https://www.jernbanedirektoratet.no/contentassets/1e1dfe4a71eb4665a70cea286a80862d/teknologitrender-som-pavirker-transportsektoren-v1.1-signert.pdf;Kartlegging;SINTEF|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|SINTEF Community|SINTEF Energiforskning |SINTEF IKT|SINTEF petroleumsforskning|SINTEF Byggforsk|SINTEF fiskeri og havbruk|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL;043978cc-088b-4564-8b29-c5773cd90fbe;no;2017-12-14 20:05:56;254801
Boligsosiale utfordringer og sosial innovasjon ;;Evaluering;Forskningsstiftelsen fafo|Fafo;04540d34-6bd6-4d8f-b1db-680fa7cfa182;nob;2013-01-01 00:00:00;276723
Følgeevaluering av Forskningsløft i nord - Sluttrapport;;Evaluering;Oxford Research|Ekebacka Konsult;045978b4-dd0e-4a22-970b-73d86f391822;nob;2013-01-01 00:00:00;97061
Den verdiskapende naturarven;;Evaluering;Telemarksforsking Bø;045c4326-0880-40ba-b131-9377cd77d997;nob;2012-01-01 00:00:00;785890
Arbeidsmarkedstiltak i motbakke;;Evaluering;ECON analyse;04730c8c-e453-49fb-af79-d0788f75646e;nob;2005-01-01 00:00:00;127353
Effects of vitamins, fatty acids, minerals, and other dietary supplements on schizophrenic symptoms in people with schizophrenia;;Evaluering;Nasjonalt kunnskapssenter for helsetjenesten;047581b5-a21f-43eb-813d-8680fae1dbd1;eng;2011-01-01 00:00:00;139252
Flere flyktninger bosatt raskere. Hvordan fikk kommunene det til?;https://www.imdi.no/contentassets/1b3c1f9b685440768d0075dd88ce7e88/nibr-rapport-2018-3-flere-flyktninger-bosatt-raskere.-hvordan-fikk-kommunene-det-til.pdf;Evaluering;SINTEF|[NTNU]|NTNU. Institutt for voksnes læring og rådgivningsvitenskap (IVRI)|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|NTNU|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|Norges teknisk-naturvitenskapelige universitet|SINTEF Community|Norges teknisk-naturvitenskapelige universitet. Forskningsenheten Voksne i livslang læring|SINTEF Energiforskning |SINTEF IKT|C. Langås/NTNU|NTNU samfunnsforskning|SINTEF petroleumsforskning|SINTEF Byggforsk|Norges teknisk-naturvitenskapelige universitet, Fakultet for naturvitenskap og teknologi|A. Lindholm/NTNU|Norges teknisk-naturvitenskapelige universitet, Institutt for kjemi|SINTEF fiskeri og havbruk|Norsk institutt for by- og regionforskning|Norges teknisk-naturvitenskapelige universitet (NTNU)|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL|NTNU. Institutt for konstruksjonsteknikk|NIBR, NTNU|NIBR|Norsk institutt for by- og regionforskning (NIBR);047d5801-8b7e-4ef2-9c09-f5945f618621;no;2018-01-01 20:17:52;242591
Unge funksjonshemmede på praksisplass og i jobb;;Evaluering;Arbeidsforskningsinstituttet (AFI);0487feeb-2ab0-4ed9-96bf-d532ae62f79c;nob;2007-01-01 00:00:00;117534
Livslang læring 2020 - Befolkningens deltakelse på kurs, seminarer og konferanser - Resultater fra Lærevilkårsmonitoren 2008–2020;https://hkdir.no/content/download/4421/file/Livslang%20læring%202020%20-%20Befolkningens%20deltakelse%20på%20kurs,%20seminarer%20og%20konferanser.pdf;Kartlegging;Direktoratet for høyere utdanning og kompetanse (HK-dir)|Direktoratet for høyere utdanning og kompetanse|Hkdir|Hk-dir;04a3f0bb-849b-45d8-8322-4f1ee934e15f;no;2021-01-01 20:16:41;77508
Brukerbasert evaluering av det kommunale tjenestetilbudet for barn og unge med psykiske vansker 2004-2007;;Evaluering;SINTEF|SINTEF, Statens vegvesen|SINTEF Teknologi og samfunn|SINTEF Samferdselsteknikk|SINTEF Bygg og miljø|SINTEF Teknologi og samfunn. Helsetjenesteforskning|SINTEF Helse|SINTEF, Teknologi og samfunn|SINTEF Community|SINTEF Energiforskning |SINTEF IKT|SINTEF petroleumsforskning|SINTEF Byggforsk|SINTEF fiskeri og havbruk|SINTEF Building and Infrastructure|SINTEF Digital|SINTEF NHL;04a6722c-d8e1-40ca-9b05-653f31e9e8c2;nob;2008-01-01 00:00:00;0
Datasentre i Norge;https://www.regjeringen.no/contentassets/4bf7e889744b4da089a863c498680f0f/201105_datacentre-i-norge_online_implement-rapport.pdf;Forhåndsutredning;Implement Consulting Group;04ad683a-b9f2-4e0d-a504-5f9836dcabc8;no;2020-10-22 20:11:07;129303
Grunnlag for en nærmere utredning av en naturavgift;;Evaluering;Vista Analyse ;04c17674-b0b7-4483-b667-f98297167b07;nob;2015-01-01 00:00:00;208223
DFØ si forvaltning av økonomiregelverket i 2019;https://dfo.no/sites/default/files/fagomr%C3%A5der/Rapporter/2020/DFO-rapport_2020_8_Regelverksrapport-2019.pdf;Statusrapport;Direktoratet for forvaltning og økonomistyring|DFØ|Direktoratet for forvaltning og økonomistyring|DFØ;04c6dee4-0abe-4a44-b452-dc766b30c0e6;no;2020-01-01 20:05:10;88668
Politiets nasjonale innbyggerundersøkelse 2010;;Evaluering;TNS Gallup;04c81af0-bee5-411d-ac12-46bfaa0dca34;nob;2010-01-01 00:00:00;102867
Evaluering av Sametingets søkerbaserte tilskuddsordninger for samisk språk;;Evaluering;Nordlandsforskning|Norut Alta - Áltá;04ca9f82-2ed5-433c-a61a-7927093cadf1;nob;2013-01-01 00:00:00;178798
NAVs satsing på arbeid og psykisk helse;;Evaluering;Telemarksforsking Bø;04cebbc6-c099-4e70-9096-138ae30a17ac;nob;2007-01-01 00:00:00;246097
Regelverksendringer som krever utvikling av nye miljøteknologier;;Evaluering;MENON Business Economics;04d6cc36-839f-40a2-9843-5eada1e80e47;nob;2012-01-01 00:00:00;84335
Riksrevisjonens undersøkelse av opplæringen i grunnskolen;;Riksrevisjonsrapport;Riksrevisjonen;04e0493b-1ea5-4206-9b68-afb9530772c6;nob;2006-01-01 00:00:00;227509
Forsøksprogram som forvaltningspolitisk virkemiddel - smørekopp for kommunal omstilling?;;Evaluering;International Research Institute of Stavanger;04ea0270-ad9f-48a4-8f28-0a8be80b82de;nob;2010-01-01 00:00:00;0
