title,source_document_url,type,uuid,language,published_at,evaluation_type,sector,series,series_number,datainnsamling 1,datainnsamling 2,datainnsamling 3,datainnsamling 4,datainnsamling 5,method,length
Evaluation of the Norwegian Research and Development Activities in Conflict Prevention and Peace-building,,Evaluering,33de06f3-3ac3-4d52-aef8-5281cf3c1dce,eng,2008,Etterevaluering,Internasjonalt,Evalueringsrapport,mai.08,Intervju,Dokumentstudier,,,,,397591
Evaluering av integreringstilskuddet,,Evaluering,33e1e0e0-c0e3-437f-a5da-7eacd6dc8f46,nob,2006,Tidsuavhengig evaluering,Innvandring og inkludering,Rapport,236,Intervju,Spørreskjema,Statistikk,,,,631499
Ulikhet på tvers,,Evaluering,33f9f527-ef69-4213-a053-6092c60f4cf3,nob,2009,Underveisevaluering,Utdanning og forskning,NOVA-rapport,sep.09,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,227442
Monolog eller dialog? Evaluering av informasjons- og kommunikasjonsvirksomhet i norsk bistands- og utviklingspolitikk,,Evaluering,340415f5-59af-4008-b5d9-a414d4199825,nob,2017,Etterevaluering,Internasjonalt,Rapport,jun.17,Intervju,Dokumentstudier,Statistikk,,,,155650
Tynne klienter og hjelpemiddelteknologi,,Evaluering,3411b7b0-1a3d-4420-bd52-d38e471f7175,nob,2011,Tidsuavhengig evaluering,Arbeid og velferd,,,Spørreskjema,,,,,Tilfeldig utvalgsmetode. ,48348
Mer boligvelferd for pengene,,Evaluering,34225ebd-2fef-4234-9bde-5bbbe22ed4b5,nob,2017,Samfunnsøkonomisk analyse,Bolig og eiendom,Rapport,2017/33,Intervju,Statistikk,,,,,579250
Evaluering av forskningsprogrammen PRAKSISFOU og UTDANNING2020 med PRAKUT i belysning,,Evaluering,34289a5d-15c1-4d4c-9bbc-007d03905d7c,swe,2013,Underveisevaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,,,,,392472
Ferie for personer med store bistandsbehov,,Evaluering,34331ba0-6025-4c28-b6e3-24e3ff286fd8,nob,2005,Tidsuavhengig evaluering,Innvandring og inkludering,Econ-rapport,30/2005,Intervju,Spørreskjema,Dokumentstudier,,,,222644
Energieffektivisering og CO2-utslipp for innenlands transport 1994-2050,,Evaluering,34336a62-f23d-426e-ba50-f8e1da566456,nob,2009,Forhåndsevaluering,Transport og kommunikasjon,TØI-rapport,1047/2009,Dokumentstudier,,,,,,187943
Evaluering av Norsk Kulturminnefond,,Evaluering,343a447e-71a7-44ff-a214-13137ae091c3,nob,2007,Etterevaluering,Miljø,NIBR-rapport,2007:06:00,Intervju,Dokumentstudier,Observasjon,,,,172830
Foreldremekling,,Evaluering,34533cf5-c5af-487f-af95-03b8eb0d5274,nno,1997,Etterevaluering,Familie og oppvekst,Forskningsrapport,23/1997,Spørreskjema,,,,,Variansanalyse (ANOVA),395838
Uavhengig attestasjonsuttalelse 2013,,Evaluering,34952cad-79e4-4603-8b3d-26370b9850a5,nob,2013,Samfunnsøkonomisk analyse,Økonomi,,,Dokumentstudier,,,,,,38840
Hovedrapport,,KVU/KS1/KS2,349e5e6a-32c1-4b26-8e62-218410b673b0,nob,2011,Forhåndsevaluering,Transport og kommunikasjon,,,Dokumentstudier,Statistikk,Observasjon,,,,268625
Riksrevisjonens undersøkelse om utnyttelse av infrastruktur til forskning i norske områder i Arktis,,Riksrevisjonsrapport,34b9807e-ac3b-4a44-a59c-9dbf5b72eee9,nob,2014,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument, 3:13 (2014-2015),Intervju,Dokumentstudier,Statistikk,,,,164498
Kommuners rutiner og praksis for å følge opp ulykker/hendelser som medfører skader på barn i barnehager,,Evaluering,34d8b274-68bc-48dd-8a42-6bf526f56dce,nob,2014,Tidsuavhengig evaluering,Utdanning og forskning,,,Intervju,,,,,"Kvalitative intervjuer med representanter for private barnehager, kommunale barnehager og kommunen som barnehagemyndighet.",74064
Kortnebbgås i Nord-Trøndelag våren 2008,,Evaluering,34e6caa7-46da-468c-b886-df6a362931e4,nob,2009,Etterevaluering,Miljø,NINA rapport,452,Statistikk,Observasjon,,,,,34969
Riksrevisjonens undersøkelse av effektiviteten i straffesakskjeden,,Riksrevisjonsrapport,34ffea9d-6d51-4183-9f91-06265376378d,nob,2005,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:15 (2004-2005),Intervju,Dokumentstudier,Statistikk,,,,122720
Evaluering av handlingsplan mot tvangsekteskap,,Evaluering,3533d9a4-d131-4f4d-ab06-8f71676d83da,nob,2010,Etterevaluering,Likestilling,ISF rapport,2009:09:00,Spørreskjema,Dokumentstudier,Observasjon,,,Kvalitative intervjuer,225695
LP-modellen,,Evaluering,353d5704-7934-4fd0-ab9f-04a8fc27ca22,nob,2009,Forhåndsevaluering,Utdanning og forskning,Rapport,mai.09,Intervju,Spørreskjema,Statistikk,,,Kvalitativ og kvantitativ metode,292702
Kjøps- og kontraktsformer i lokal rutebiltransport,,Evaluering,3542a67b-849f-41f9-9871-f6b157001866,nob,2006,Tidsuavhengig evaluering,Transport og kommunikasjon,TØI-rapport,819/2006,Intervju,Dokumentstudier,Statistikk,,,,293336
Ekstraordinært eller selvfølgelig?,,Evaluering,35442e1a-e253-4e27-8657-06b3213ef674,nob,2006,Tidsuavhengig evaluering,"Kultur, fritid og livssyn",NIFU STEP rapport,mai.06,Intervju,Dokumentstudier,Observasjon,,,,436508
"Evaluering av satsingen på helse, arbeidsmiljø og sikkerhet i PETROMAKS og PETROMAKS2",,Evaluering,3557140f-a24b-4c10-9e48-8bd39a2efb60,nob,2015,Etterevaluering,Helse og omsorg,,,Intervju,Spørreskjema,Dokumentstudier,,,,169572
Evaluering av overvåkningsprogrammet for Brucella melitensis hos sau,,Evaluering,356f253f-ef2f-455e-844e-103a26cb1c44,nob,2007,Underveisevaluering,"Mat, fisk og landbruk",Veterinærinstituttets rapportserie,apr.07,Dokumentstudier,,,,,,33352
Evaluering av FRAM og iVEL 1997-2005,,Evaluering,3575682b-c837-44a3-bbc0-4fa16af42c9a,nob,2007,Underveisevaluering,Næringsliv,Arbeidsrapport,jan.07,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,386748
Fastlegers vurdering av kvaliteten ved distriktspsykiatriske sentra i 2006,,Evaluering,3578e668-7044-4ce2-b194-15bfd8a31a10,nob,2006,Tidsuavhengig evaluering,Helse og omsorg,PasOpp-rapport,jan.06,Spørreskjema,,,,,,63569
Evaluering av enhetlig ledelse ved Høgskolen i Bodø,,Evaluering,359ded9b-1f1f-4749-8edd-05167f495d68,nob,2010,Etterevaluering,Utdanning og forskning,,,Intervju,,,,,,60299
Regionale forskningsfond – ny infrastruktur for regional forskningsforvaltning: Sluttrapport fra følgeevalueringen av regionale forskningsfond,,Evaluering,35acffcd-0fb1-49cc-8f6f-fcf74c531e34,nob,2013,Underveisevaluering,Utdanning og forskning,Rapport,45/2013,Intervju,Observasjon,,,,,289858
Peer review of the implementation of the European Statistics Code of Practice - country visited: Norway ,,Evaluering,35b15f07-4841-4183-b2c1-97f00977172c,eng,2007,Underveisevaluering,Offentlig forvaltning,,,Intervju,Dokumentstudier,Observasjon,,,,59767
Unintended Effects in Evaluations of Norwegian Aid,,Evaluering,35bbaac2-fb7a-488f-b9f8-d5dd82319c32,eng,2014,Etterevaluering,Internasjonalt,Rapport,feb.14,Dokumentstudier,,,,,,112870
Rapport om rammer for magasindisponering,,Evaluering,35c916fc-0fa0-4b34-ace0-8e7194de9995,nob,2007,Etterevaluering,Energi,,,Dokumentstudier,,,,,,303151
Profesjonalisering av kor,,Evaluering,35dd987d-0ee7-4c17-84cb-ea11ce2aa54b,nob,2010,Etterevaluering,"Kultur, fritid og livssyn",,,Intervju,Dokumentstudier,,,,,205816
Riksrevisjonens undersøkelse av effektiviteten i norsk humanitær bistand,,Riksrevisjonsrapport,35e3e762-9810-43b0-8ca3-b217dc99d7b3,nob,2008,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:2 (2008-2009),Intervju,Spørreskjema,Dokumentstudier,,,,490296
Anskaffelse av arkitekttjenester – prinsipper og hensyn,,Evaluering,35e8afbd-b677-4fe9-a562-205a9ec5230b,nob,2015,Forhåndsevaluering,Bolig og eiendom,,,Intervju,Statistikk,Observasjon,,,,232209
Omlegging av bostøtten i 2009,,Evaluering,35f673e2-cd81-429a-ad83-2b3ffa5feead,nob,2011,Underveisevaluering,Bolig og eiendom,NIBR-rapport,2011:11:00,Statistikk,,,,,,79411
Samtalegrupper etter ATV-modellen,,Evaluering,360259f0-8c9c-4787-a6ba-04c7f6cc208b,nob,2002,Etterevaluering,Offentlig forvaltning,KRUS dokumentasjon & debatt,feb.02,Intervju,,,,,,220680
Institutional cooperation between MIREME and NVE in Mozambique,,Evaluering,361656bb-f50a-4650-a700-c14af3d315e8,eng,2019,Underveisevaluering,Energi,Norad Collected Reviews,nov.19,Intervju,Dokumentstudier,,,,,67691
Evaluering av «Kompetanse for utvikling. Strategi for kompetanseutvikling i grunnopplæringen 2005–2008.» Delrapport 3,https://www.fafo.no/zoo-publikasjoner/fafo-notater/evaluering-av-kompetanse-for-utvikling-strategi-for-kompetanseutvikling-i-grunnopplaeringen-2005-2008,Ukategorisert,361ffeda-b2b0-45fc-a3cc-f2a09e9103cb,nob,2008,Underveisevaluering,Utdanning og forskning,FAFO-notat,2008:13:00,Intervju,Spørreskjema,,,,,205756
Arbeidsgiveres inkluderingsevne,,Evaluering,36378772-1a25-4efd-886a-e80256999664,nob,2015,Tidsuavhengig evaluering,Arbeid og velferd,AFI-rapport,mai.15,Intervju,Spørreskjema,,,,,150929
Helse- og omsorgspersonell,,Evaluering,36396132-9586-4e02-a19e-018fbb670d9a,nob,2011,Forhåndsevaluering,Helse og omsorg,Rapport IRIS,2011/100,Intervju,,,,,,271490
Evaluation of Norwegian HIV/AIDS Responses,https://www.norad.no/om-bistand/publikasjon/2009/evaluation-of-norwegian-hivaids-responses/,Evaluering,363f98ca-e116-4578-bb5e-94012e7f490d,eng,2009,Etterevaluering,Internasjonalt,Evalueringsrapport,apr.08,Intervju,Dokumentstudier,,,,,210640
Evaluation of the Social Sciences in Norway,,Evaluering,368cbf4b-f293-4e5b-aa58-33b97eacdedb,eng,2018,Tidsuavhengig evaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,Statistikk,,,"Selvevalueringer, Bibliometrisk analyse",844208
Harvesting Risk Premia for Large Scale Portfolios,,Evaluering,3690be40-fe36-4cdb-85ec-231430faee8b,eng,2013,Samfunnsøkonomisk analyse,Økonomi,,,Dokumentstudier,Statistikk,,,,,251124
Evaluering av pilotprosjekt om førstelinjerettshjelp,,Evaluering,36ba913b-cb23-4d37-947b-e213051532f0,nob,2013,Etterevaluering,Lov og rett,,,Intervju,Spørreskjema,Dokumentstudier,,,,217270
Evaluering av forsøk med praksisbrev,,Evaluering,3705b3c4-bb5c-4b36-bd44-3bb734fb3c14,nob,2009,Underveisevaluering,Utdanning og forskning,Rapport,32/2009,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,Kvantitativ og kvalitativ metode,346763
Blåfjella - Skjækerfjella/Låarte - Skæhkere,,Evaluering,37197d56-fbba-4984-ba54-4ba52b4756ae,nob,2008,Etterevaluering,Offentlig forvaltning,NIBR-rapport,jan.08,Dokumentstudier,Observasjon,,,,,191073
Erfaringer fra forsøk med velferdslab i Asker kommune,,Evaluering,377c8d1e-d0e4-44c3-9cae-1cd6ae59c749,nob,2018,Underveisevaluering,Arbeid og velferd,Proba-rapport,jan.18,Intervju,,,,,,170468
Samfunnsøkonomiske konsekvenser av marginalisering blandt ungdom,,Evaluering,37a89ce2-5f0b-4651-923c-70de4abec7dd,nob,2010,Samfunnsøkonomisk analyse,Familie og oppvekst,Rapport,2010/07,Intervju,Dokumentstudier,Statistikk,,,,184195
Regionale virkninger av olympiske vinterleker i Tromsø 2018,,Evaluering,37bad5ae-1690-41a3-847e-5675e6d54c37,nob,2008,Forhåndsevaluering,Kommuner og distrikter,TØI-rapport,937/2008,Dokumentstudier,Statistikk,,,,,194522
Forebyggende innsatser i skolen,,Evaluering,37e75d6e-3039-4406-9d5c-1f2e3dc42c1a,nob,2006,Tidsuavhengig evaluering,Utdanning og forskning,,,Dokumentstudier,,,,,"Dokumentanalyser, samt kvantitativ og kvalitativ evaluering",414982
Verdiskaping og sysselsetting,,Evaluering,37fdc536-c670-4be5-916c-9cf2d61f92b9,nob,2012,Forhåndsevaluering,Energi,Rapport,51-12,Statistikk,Observasjon,,,,,123245
Riksrevisjonens undersøkelse av arbeids- og velferdsetatens oppfølging av sykmeldte,,Riksrevisjonsrapport,384c9891-ef56-4362-a17f-cfa1eea127ee,nob,2011,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:5 (2010-2011),Intervju,Spørreskjema,Dokumentstudier,,,,250891
Leadership in the FK Youth Programme,,Evaluering,38770d24-4b38-44bb-870a-fac43ccc499c,eng,2015,Tidsuavhengig evaluering,Internasjonalt,,,Intervju,Dokumentstudier,,,,,60603
Evaluering av utvalgte kulturlandskap i jordbruket ,,Evaluering,3877ba33-f902-4a74-80ed-1681bf3fa76d,nob,2014,Underveisevaluering,Miljø,,,Intervju,Spørreskjema,,,,,94178
Quality Assessment of Decentralised Evaluations in Norwegian Development Cooperation (2018–2019),,Evaluering,3879a466-0b9b-45ff-93c8-dbd16a8676e7,eng,2020,Etterevaluering,Internasjonalt,Rapport,jun.20,Dokumentstudier,,,,,,210359
Like sikkert som snø,,Evaluering,38933d88-5afc-48be-a423-a211a7ae9b91,nob,2008,Underveisevaluering,Offentlig forvaltning,NF-rapport,jun.08,Intervju,,,,,,288457
Mer tid - bedre skole?,,Evaluering,38a04bbc-b73a-439b-bdca-f066a6385487,nob,2008,Etterevaluering,Utdanning og forskning,SINTEF rapport,A6596,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,"Kvalitative intervjuer, kvantitativ studie med spørreskjema",NULL
Riksrevisjonens undersøkelse av Norges forskningsråds handlingsrettede programmer,,Riksrevisjonsrapport,38ac01c7-7593-47c6-8007-f59e6e1ccc3f,nob,2005,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:6 (2004-2005),Intervju,Spørreskjema,Dokumentstudier,,,,155820
Assistert retur til Nigeria,,Evaluering,38b28e19-1e8a-4394-8364-884f96187809,nob,2016,Underveisevaluering,Innvandring og inkludering,,,Intervju,Dokumentstudier,Statistikk,,,,268828
Transportmodellberegninger og virkemiddelanalyse for framtidens byer,,Evaluering,38c11269-aff0-46d0-9dd1-24ac701b8513,nob,2011,Tidsuavhengig evaluering,Transport og kommunikasjon,TØI-rapport,1123/2011,Statistikk,,,,,Modellberegning,129440
Nærings- og skattevirkninger av petroleumsvirksomhet i Nordsjøen,,Evaluering,38cdf46c-bd3c-4c89-8f08-35d8a4a1c525,nob,2011,Forhåndsevaluering,Energi,Menon-publikasjon,nov.11,Dokumentstudier,,,,,,68597
Konsolidert tilskuddsordning? Oppfølgende evaluering av Kultur- og kirkedepartementets tilskuddsordning til lokale idrettslag,,Evaluering,38e5a09f-4a9d-4bd4-91c8-5a43cb4cc630,nob,2007,Underveisevaluering,"Kultur, fritid og livssyn",Rapport IRIS,81/2007,Intervju,,,,,"Skriftlig materiale fra et utvalg på 186 kommuner og dybdestudier av 12 kommuner. Som ledd i dybdestudien er det gjennomført intervjuer i 20 idrettslag, 11 idrettsråd og med representanter for kommunale myndigheter på politisk og administrativ side. Det er også gjennomført intervjuer i 9 av idrettskretsene, samt med representanter for Kulturdepartementet og NIF sentralt.",207358
KVU E6 Fauske - Mørsvikbotn,,KVU/KS1/KS2,391842f1-9926-4c2d-9140-b83625cd90f4,nob,2015,Forhåndsevaluering,Transport og kommunikasjon,,,Dokumentstudier,Statistikk,Observasjon,,,,NULL
Evaluering av SkatteFUNN-ordningen,,Evaluering,3918b8bd-bc1a-4486-bd5b-95ba1be0debc,nob,2007,Tidsuavhengig evaluering,Utdanning og forskning,Arbeidsrapport,mar.07,Dokumentstudier,,,,,,90131
The Norad Programme in Arts and Cultural Education,,Evaluering,393ed054-e335-4ae5-aadb-88fbb7ff48ba,eng,2008,Underveisevaluering,Utdanning og forskning,Rapport,mai.08,Intervju,Dokumentstudier,,,,,134663
Balansekunst,,Evaluering,3952a503-cd09-46bf-bc55-a63df8a40ac6,nob,2013,Underveisevaluering,Arbeid og velferd,NF-notat,1013/2013,Intervju,Dokumentstudier,Observasjon,,,"Personlige- og telefonintervju, ",187982
Creating Change in the Education Sector: The Catalytic Factors,,Evaluering,395988da-2833-42a9-8b1e-9df9467b43fb,eng,2012,Tidsuavhengig evaluering,Internasjonalt,,,Intervju,Spørreskjema,Dokumentstudier,Statistikk,Observasjon,,255508
Evaluering av system for kvalitetssikring av utdanningen ved Samisk høgskole - Sámi allaskuvla ,,Evaluering,3966ef0a-8bda-4f95-8fbd-f8bd2ddc2738,nob,2008,Underveisevaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,Observasjon,,,,27880
Kunnskapsstatus Tema 1: sykefravær,,Evaluering,398c3352-7035-4826-96e8-2bd0b94e6d12,nob,2007,Tidsuavhengig evaluering,Arbeid og velferd,AFI-notat,nov.07,Dokumentstudier,,,,,,298351
"Evaluering av ""Mestringsveier til arbeid - psykisk helse og rus""",,Evaluering,39964a59-0ab5-4697-af1c-0e52c21606c3,nob,2012,Underveisevaluering,Arbeid og velferd,SINTEF rapport,A22675,Intervju,Dokumentstudier,,,,"Individuelle intervju, telefonintervju. Strategisk utvalg.",291499
Tango for to,,Evaluering,399e053f-38f2-4203-a37c-2caf06dba950,nno,2004,Underveisevaluering,Familie og oppvekst,Arbeidsrapport,155,Intervju,Dokumentstudier,,,,Dokumentstudier. Kvalitativ og kvantitativ metode.,211694
Helseverknader av auka sykkeltrafikk i nokre utvalte norske småbyar,,Evaluering,39d66776-4c7a-4394-940b-89300da5dcf5,nno,2010,Etterevaluering,Transport og kommunikasjon,TØI-rapport,1112/2010,Statistikk,,,,,,64685
Evaluering av markedsføringen av det bygdebaserte reiselivet i Innovasjon Norge,,Evaluering,39db8809-a6e0-4844-a65e-c838c6c0cec6,nob,2007,Tidsuavhengig evaluering,Næringsliv,,,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,211792
Evaluering av BIO og AMO i bedrift,,Evaluering,39ed3df8-41c9-4eb3-bc7f-864fcd82e7bf,nob,2010,Tidsuavhengig evaluering,Arbeid og velferd,,,Intervju,Spørreskjema,,,,"Kvantitativ breddeundersøkelse, eksplorative intervjuer, kvalitative telefonintervjuer, kvalitative casestudier",198723
Evaluering av Teknologirådet,,Evaluering,39eecf4e-3fef-43c0-bb61-5353c6e4155d,nob,2011,Underveisevaluering,Næringsliv,Rapport,32/2011,Intervju,Dokumentstudier,,,,"Evalueringen er ikke en reell effektevaluering ettersom det krever at en har data til å fastslå årsakssammenheng og utelukke andre faktorers betydning. I denne sammenheng er ikke det mulig. Dokumentanalyse, egenvurdering og intervjuer er brukt som metode. Mediedatabasen Atekst (Retrievers arkivtjeneste) er benytttet for å anlysere Teknologirådets bidrag til formidling og offentlig debatt. Det er også blitt benyttet et komparativt perspektiv der Teknologirådet blir vurdert i forhold til to andre parlamentariske teknologirådgivningsorganer i Europa – Teknologirådet i Danmark og den finske Committee for the Future.",240353
Evaluation of the Norwegian Emergency Preparedness System (NOREPS),https://www.norad.no/om-bistand/publikasjon/2009/evaluation-of-the-norwegian-emergency-preparedness-system-noreps/,Evaluering,39f0f10a-d389-4626-8202-417b208a1eaa,eng,2009,Etterevaluering,Internasjonalt,Evalueringsrapport,jan.08,Intervju,Spørreskjema,Dokumentstudier,,,,285022
Kartlegging og vurdering av utviklingen i den norske filmbransjen,,Evaluering,39f6ebd5-847e-4bd2-94f9-ee927151b3a3,nob,2005,Underveisevaluering,"Kultur, fritid og livssyn",,,Intervju,Dokumentstudier,Statistikk,,,,273657
Riksrevisjonens undersøking av årsaker til at statlege verksemder ikkje etterlever regelverket for offentlege anskaffingar,,Riksrevisjonsrapport,39fc4774-4535-4d86-910a-f68eefccf679,nno,2011,Tidsuavhengig evaluering,Konstitusjonelle organer ,,,Intervju,Spørreskjema,Dokumentstudier,,,,163711
Real-Time Evaluation of Norway’s International Climate and Forest Initiative,,Evaluering,3a3b5da4-58a1-4c18-8f20-63aa2ba5b93d,eng,2010,Underveisevaluering,Internasjonalt,Evalueringsrapport,des.10,Intervju,Spørreskjema,Dokumentstudier,,,,245685
Tvisteløsningsnemndas praksis i saker om fortrinnsrett for deltidsansatte,,Evaluering,3a8e2e55-281f-491e-9c76-ebf8367c790c,nob,2011,Tidsuavhengig evaluering,Arbeid og velferd,Fafo-rapport,2011:31:00,Dokumentstudier,,,,,,108886
Kvalitetsreformen møter virkeligheten,,Evaluering,3aa30b36-ffb0-467f-a161-fe424bfe023b,nob,2006,Underveisevaluering,Utdanning og forskning,,,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,455563
Evaluering av forvaltning av kongekrabbe,,Evaluering,3abb4f19-d0f3-4c4b-8a9c-7d14962238d3,nob,2006,Forhåndsevaluering,"Mat, fisk og landbruk",,,,,,,,,68649
Konseptvalgutredning for lokalisering av marine FoU-virksomheter i Bergen,,KVU/KS1/KS2,3abdd2d4-553c-40dd-9688-38b3b30e98ef,nob,2016,Forhåndsevaluering,Utdanning og forskning,,,Intervju,,,,,,293643
